,size,intensity
1427,2450,32
1428,1483,12
1429,1754,15
1430,1586,11
1431,2396,2
1432,3539,7
1433,1926,8
1434,3115,36
1435,2011,51
1436,2543,60
1437,1291,1
1438,1048,47
1439,1644,24
1440,2351,146
1441,1545,3
1442,1661,6
1443,3794,19
1444,1522,13
1445,1502,8
1446,3990,1
1447,1752,1
1448,1223,8
1449,2167,14
1450,1143,1
1451,1303,5
1452,1631,1
1453,2762,1
1454,702,1
1455,1088,7
1456,1434,5
1457,1503,1
1458,1611,17
1459,2412,1
1460,2159,18
1461,2594,3
1462,1477,20
1463,2964,9
1464,1066,10
1465,3503,62
1466,1634,15
1467,2625,1
1468,2102,6
1469,1519,1
1470,1147,1
1471,1748,17
1472,1495,4
1473,1366,28
1474,3408,82
1475,1281,29
1476,5249,16
1477,1386,2
1478,2111,1
1479,1613,1
1480,675,0
1481,1136,23
1482,1479,2
1483,1797,52
1484,4258,48
1485,270,62
1486,1205,1
1487,415,49
1488,296,1
1489,535,1
1490,351,1
1491,4800,53
1492,681,1
1493,208,1
1494,3610,2
1495,3386,1
1496,2999,1
1497,3399,1
1498,2757,1
1499,2923,4
1500,3602,1
1501,2725,4
1502,2674,1
1503,2726,12
1504,3970,33
1505,2093,10
1506,3266,19
1507,2459,10
1508,1717,22
1509,3502,15
1510,2595,2
1511,3724,10
1512,4241,31
1513,4042,8
1514,4461,2
1515,2736,18
1516,2238,1
1517,2237,18
1518,3329,6
1519,3691,4
1520,2193,1
1521,2593,1
1522,2802,4
1523,2060,1
1524,2770,1
1525,2755,4
1526,2861,32
1527,1990,12
1528,2394,1
1529,2557,1
1530,1793,1
1531,2692,3
1532,3239,1
1533,1477,8
1534,3780,44
1535,2389,1
1536,2871,0
1537,1714,4
1538,1460,3
1539,1773,1
1540,1447,2
1541,1974,1
1542,1117,9
1543,5114,124
1544,1890,4
1545,3631,11
1546,1224,1
1547,4470,5
1548,1478,1
1549,1993,5
1550,2681,4
1551,2199,1
1552,1343,2
1553,4902,6
1554,2411,5
1555,3613,2
1556,4261,2
1557,2616,22
1558,1956,6
1559,4211,102
1560,2599,10
1561,2322,31
1562,2383,14
1563,1568,18
1564,2289,7
1565,1683,2
1566,2829,87
1567,2670,3
1568,1321,15
1569,1569,3
1570,1691,8
1571,1706,7
1572,1395,5
1573,1204,24
1574,1932,3
1575,2880,17
1576,2020,11
1577,3825,4
1578,3005,11
1579,3178,1
1580,1920,2
1581,3823,5
1582,1433,1
1583,1085,1
1584,4689,47
1585,3495,5
1586,2848,2
1587,2760,1
1588,3261,1
1589,885,30
1590,1853,3
1591,2229,35
1592,2880,1
1593,1542,1
1594,753,3
1595,1265,1
1596,2806,12
1597,3074,32
1598,2927,21
1599,2014,23
1600,1946,13
1601,1289,1
1602,1910,21
1603,4802,22
1604,1930,1
1605,983,1
1606,2774,1
1607,781,5
1608,509,1
1609,394,1
1610,445,1
1611,812,3
1612,2938,7
1613,2713,8
1614,851,16
1615,1638,1
1616,615,1
1617,2853,96
1618,444,0
1619,179,35
1620,1573,1
1621,614,20
1622,3382,53
1623,3599,2
1624,3031,10
1625,2863,23
1626,3795,28
1627,2841,4
1628,2579,31
1629,2340,1
1630,2657,1
1631,2864,1
1632,2618,1
1633,2478,1
1634,3886,1
1635,2847,14
1636,2475,1
1637,2167,4
1638,2508,1
1639,2527,1
1640,2727,2
1641,3134,26
1642,4168,5
1643,2749,5
1644,2285,12
1645,2757,1
1646,2254,1
1647,5752,3
1648,2579,7
1649,2254,1
1650,2245,2
1651,1870,3
1652,2473,3
1653,1638,1
1654,2159,1
1655,2929,17
1656,2407,48
1657,2099,5
1658,3565,18
1659,2577,1
1660,1906,1
1661,2723,17
1662,2470,3
1663,1916,15
1664,2244,3
1665,4455,1
1666,1869,4
1667,3501,1
1668,2222,16
1669,3436,36
1670,1853,53
1671,1926,1
1672,2101,9
1673,1416,3
1674,1830,5
1675,2286,1
1676,1783,68
1677,1588,8
1678,3059,4
1679,2921,1
1680,3713,1
1681,1779,12
1682,1434,1
1683,3487,19
1684,1611,11
1685,1506,12
1686,3391,31
1687,1385,46
1688,2016,5
1689,7742,1
1690,1432,1
1691,2136,1
1692,5491,23
1693,1230,3
1694,2102,26
1695,1630,17
1696,1912,105
1697,1550,1
1698,919,7
1699,3600,9
1700,1481,5
1701,2202,1
1702,759,1
1703,1939,40
1704,1354,1
1705,1449,8
1706,2050,20
1707,3200,23
1708,1231,1
1709,2133,63
1710,1156,1
1711,2196,10
1712,1413,24
1713,1129,15
1714,1110,1
1715,1423,28
1716,3084,57
1717,1181,15
1718,965,1
1719,1241,0
1720,1316,1
1721,1138,0
1722,1121,1
1723,2457,22
1724,578,1
1725,1080,1
1726,1201,5
1727,1129,1
1728,1839,1
1729,4538,40
1730,1009,54
1731,3333,1
1732,1532,1
1733,1928,9
1734,4085,61
1735,792,36
1736,709,1
1737,1250,1
1738,372,1
1739,412,32
1740,415,49
1741,736,46
1742,296,32
1743,261,0
1744,4935,38
1745,3737,2
1746,3540,11
1747,3734,3
1748,3228,1
1749,2206,12
1750,3273,1
1751,1964,8
1752,2552,17
1753,2814,1
1754,3031,111
1755,5356,41
1756,4386,47
1757,4675,47
1758,1615,7
1759,2492,7
1760,1962,1
1761,2181,11
1762,2193,2
1763,1544,15
1764,2522,6
1765,1868,2
1766,2734,14
1767,1894,4
1768,2226,1
1769,2661,7
1770,4699,46
1771,3175,3
1772,4312,9
1773,2091,1
1774,4421,66
1775,3936,103
1776,2692,8
1777,3608,5
1778,1991,18
1779,4153,1
1780,2639,18
1781,3326,70
1782,2169,1
1783,1707,7
1784,2882,1
1785,2149,10
1786,2595,79
1787,1682,1
1788,1414,2
1789,1873,9
1790,3520,13
1791,2701,1
1792,1891,10
1793,1414,16
1794,1692,1
1795,1760,1
1796,2041,9
1797,1372,6
1798,2994,4
1799,3688,19
1800,2708,31
1801,1432,6
1802,542,1
1803,1538,5
1804,3341,23
1805,2170,7
1806,2814,5
1807,2990,4
1808,2591,6
1809,2177,1
1810,4084,2
1811,1643,1
1812,3805,1
1813,1400,1
1814,969,1
1815,770,10
1816,1468,1
1817,1006,1
1818,3216,1
1819,1372,1
1820,3101,2
1821,1343,1
1822,1576,1
1823,465,1
1824,729,1
1825,649,1
1826,928,1
1827,956,3
1828,1406,1
1829,1099,1
1830,514,1
1831,4215,1
1832,516,1
1833,64,13
1834,2775,15
1835,2802,14
1836,237,1
1837,650,1
1838,385,38
1839,248,18
1840,4000,2
1841,2715,17
1842,2478,3
1843,1707,3
1844,3522,1
1845,2515,16
1846,1517,0
1847,2344,1
1848,3430,5
1849,2302,43
1850,1783,7
1851,3352,12
1852,2073,5
1853,1563,13
1854,2368,21
1855,3172,1
1856,1979,167
1857,3071,4
1858,1893,18
1859,2635,2
1860,2468,1
1861,1850,31
1862,1876,7
1863,2282,23
1864,2986,4
1865,4713,1
1866,1277,3
1867,2531,9
1868,1718,1
1869,2846,35
1870,2089,1
1871,4327,1
1872,1660,23
1873,3635,1
1874,2335,9
1875,2556,70
1876,1807,5
1877,1534,7
1878,2331,20
1879,2444,1
1880,3824,15
1881,2195,2
1882,2623,9
1883,2379,36
1884,2700,1
1885,2394,1
1886,1766,3
1887,3948,30
1888,702,1
1889,1558,3
1890,1794,11
