,size,intensity
1768,1608,31
1769,3694,20
1770,2295,62
1771,1602,17
1772,2274,7
1773,1705,28
1774,1829,11
1775,2514,81
1776,1978,16
1777,1301,8
1778,2055,4
1779,2674,40
1780,2625,1
1781,1728,24
1782,2155,52
1783,2580,8
1784,3527,21
1785,1669,17
1786,1945,4
1787,2359,19
1788,1614,4
1789,1313,27
1790,1735,31
1791,1653,13
1792,1697,80
1793,2315,21
1794,1459,12
1795,3019,1
1796,1827,13
1797,2999,57
1798,1469,20
1799,1646,13
1800,1711,6
1801,2630,20
1802,1578,31
1803,2462,87
1804,1798,10
1805,1317,71
1806,1956,36
1807,2185,34
1808,1946,154
1809,712,2
1810,2368,1
1811,1802,31
1812,2366,36
1813,1549,45
1814,1687,25
1815,2725,255
1816,1985,19
1817,3106,1
1818,1341,1
1819,1915,28
1820,1752,1
1821,3879,76
1822,2731,116
1823,3080,12
1824,2024,54
1825,2176,1
1826,1325,31
1827,1352,3
1828,2750,13
1829,1790,63
1830,2429,1
1831,1633,13
1832,1768,24
1833,1995,64
1834,1637,17
1835,691,1
1836,1435,46
1837,1571,168
1838,1975,9
1839,2629,38
1840,717,22
1841,1588,62
1842,1474,15
1843,1817,57
1844,3761,113
1845,732,1
1846,1068,13
1847,1743,1
1848,1465,59
1849,4082,1
1850,1721,17
1851,1580,32
1852,1371,40
1853,1122,121
1854,622,20
1855,2236,67
1856,1528,11
1857,1220,19
1858,974,1
1859,1557,20
1860,1056,10
1861,4296,15
1862,671,130
1863,549,8
1864,368,49
1865,2001,142
1866,1860,1
1867,1166,52
1868,238,1
1869,375,1
1870,2576,21
1871,2762,1
1872,3662,3
1873,4156,74
1874,4839,45
1875,3752,47
1876,3109,13
1877,3319,70
1878,2314,1
1879,4628,34
1880,4801,47
1881,2118,3
1882,2724,14
1883,1980,31
1884,4434,23
1885,2181,19
1886,4663,40
1887,2141,14
1888,2884,20
1889,2754,112
1890,3748,36
1891,3065,9
1892,3067,2
1893,1722,15
1894,3337,72
1895,1757,7
1896,3975,66
1897,1389,1
